,,,,Date,,,,,,,,,,,,,,,,,
,,,,Adoption,,,,,,,,,,,,,,,,,
Trm,Dept/Course,Section,Professor,Received,Author,Title,ISBN,,,,,,,,,,,,,,
F19,CLAS 1120G,S01,"Pucci, Joseph Michae",3/27/2019,ST.AUGUSTINE,CONFESSIONS,978-0-14-044114-7,,,,,,,,,,,,,,
F19,CLAS 1120G,S01,"Pucci, Joseph Michae",3/27/2019,CATULLUS,COMPLETE POEMS,978-0-19-953757-0,,,,,,,,,,,,,,
F19,CLAS 1120G,S01,"Pucci, Joseph Michae",3/27/2019,VENANTIUS,POEMS TO FRIENDS,978-1-6038418-6-3,,,,,,,,,,,,,,
F19,CLAS 1120G,S01,"Pucci, Joseph Michae",3/27/2019,HORACE,COMPLETE ODES+EPODES,978-0-14-044422-3,,,,,,,,,,,,,,
F19,CLAS 1120G,S01,"Pucci, Joseph Michae",3/27/2019,HILDEGARD,SYMPHONIA,978-0-8014-8547-3,,,,,,,,,,,,,,
F19,CLAS 1120G,S01,"Pucci, Joseph Michae",3/27/2019,LUCAN,CIVIL WAR (9540686),978-0-19-954068-6,,,,,,,,,,,,,,
F19,CLAS 1120G,S01,"Pucci, Joseph Michae",3/27/2019,MILLER,GREEK LYRIC,978-0-87220-291-7,,,,,,,,,,,,,,
F19,CLPS 0120,S01,"Carskadon, Mary A.",4/22/2019,CARTWRIGHT,TWENTY-FOUR HOUR MIND,978-0-19-989628-8,,,,,,,,,,,,,,
F19,CLPS 0120,S01,"Carskadon, Mary A.",4/22/2019,LOCKLEY,SLEEP:A VERY SHORT INTRODUCTION,978-0-19-958785-8,,,,,,,,,,,,,,
F19,CLPS 0120,S01,"Carskadon, Mary A.",4/22/2019,DEMENT,PROMISE OF SLEEP,978-0-440-50901-1,,,,,,,,,,,,,,
F19,CLPS 0120,S01,"Carskadon, Mary A.",4/22/2019,FLYGARE,WIDE AWAKE AND DREAMING,978-0-9883149-0-0,,,,,,,,,,,,,,
F19,CLPS 0701,S01,"Hayden, Brian C.",4/4/2019,SCHULTZ,THEORIES OF PERSONALITY,978-1-3056529-5-8,,,,,,,,,,,,,,
F19,CLPS 0900,S01,"Spoehr, Kathryn T.",4/11/2019,HOWELL,FUND.STATISTICS F/BEHAVIORAL SCIENCES,978-1-3056529-7-2,,,,,,,,,,,,,,
F19,CLPS 1370,S01,"AnderBois, Scott H",4/11/2019,BIRNER,INTRODUCTION TO PRAGMATICS,978-1-4051758-3-8,,,,,,,,,,,,,,
F19,CLPS 1370,S01,"AnderBois, Scott H",4/11/2019,BETTY J. BIRNE,INTRODUCTION TO PRAGMATICS,978-1-1183483-5-2,,,,,,,,,,,,,,
F19,CLPS 1890,S01,"Morgan, James L.",4/10/2019,DEGROOT,RESEARCH METHODS IN PSYCHOLINGUISTICS,978-1-1191098-5-3,,,,,,,,,,,,,,
F19,CLPS 1890,S01,"Morgan, James L.",4/10/2019,GORVINE,RESEARCH METHODS,978-0-19-020182-1,,,,,,,,,,,,,,
F19,CLPS 1900,S01,"Welch, Leslie",4/11/2019,PATTEN,UNDERSTANDING RESEARCH METHODS,978-0-415-79052-9,,,,,,,,,,,,,,
F19,CLPS 1900,S01,"Welch, Leslie",4/11/2019,RUSCIO,CRITICAL THINKING IN PSYCHOLOGY,978-0-534-63459-9,,,,,,,,,,,,,,
F19,CLPS 1900,S01,"Welch, Leslie",4/11/2019,FIELD,DISCOVERING STAT.USING IBM SPSS STAT.,978-1-5264365-6-6,,,,,,,,,,,,,,
F19,CLPS 0050A,S01,"Anderson, James A.",4/11/2019,ANDERSON,AFTER DIGITAL,978-0-19-935778-9,,,,,,,,,,,,,,
F19,CLPS 1580C,S01,"Welch, Leslie",4/11/2019,WARE,INFORMATION VISUALIZATION,978-0-12-381464-7,,,,,,,,,,,,,,
F19,COLT 0810H,S01,"Haynes, Kenneth",4/11/2019,MELVILLE,CONFIDENCE MAN (9554854),978-0-19-955485-0,,,,,,,,,,,,,,
F19,COLT 0810H,S01,"Haynes, Kenneth",4/11/2019,SHAKESPEARE,TIMON OF ATHENS,978-1-9034369-7-4,,,,,,,,,,,,,,
F19,COLT 0810H,S01,"Haynes, Kenneth",4/11/2019,GRASS,PLEBEIANS REHEARSE UPRISING,978-0-15-672050-2,,,,,,,,,,,,,,
F19,COLT 0810H,S01,"Haynes, Kenneth",4/11/2019,SLAVITT,MENANDER:GROUCH DESPERATELY SEEKING JU,978-0-8122-1652-3,,,,,,,,,,,,,,
F19,COLT 0810H,S01,"Haynes, Kenneth",4/11/2019,MOLIERE,MISANTHROPE+TARTUFFE,978-0-15-660517-5,,,,,,,,,,,,,,
F19,COLT 0810H,S01,"Haynes, Kenneth",4/11/2019,BRECHT,BRECHT COLLECTED PLAYS:FOUR,978-0-413-70470-2,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,KOSSMAN,GODS+MORTALS,978-0-19-513341-7,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,HESIOD,"HESIOD:(WORKS+DAYS,THOGONY,SHIELD...)",978-0-472-08161-5,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,OVID,METAMORPHOSES (9537372),978-0-19-953737-2,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,RENAULT,KING MUST DIE,978-0-394-75104-7,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,COLLINS,HUNGER GAMES (PAPERBACK),978-0-439-02352-8,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,EURIPIDES,EURIPIDES I (ED:GRENE),978-0-226-30880-7,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,SOPHOCLES,SOPHOCLES II:(ED.GRENE),978-0-226-31155-5,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,SHAW,PYGMALION,978-0-486-28222-0,,,,,,,,,,,,,,
F19,COLT 0811I,S01,"Ierulli, Molly",4/10/2019,GEORGE BERNARD,PYGMALION,978-0-486-11378-4,,,,,,,,,,,,,,
